key,kind,tier,title,url,bytes,sha256,extracted_to
2604.22273,arxiv,1,"Self-Correction as Feedback Control: Error Dynamics, Stability Thresholds, and Prompt Interventions in LLMs",https://arxiv.org/e-print/2604.22273,4071128,312bfe4480e140f7a017ac21f9f9e4f3347987512a5bf1bf8c2b148565481cc4,1 tex -> 2604.22273.txt
2604.03196,arxiv,1,From Industry Claims to Empirical Reality: An Empirical Study of Code Review Agents in Pull Requests,https://arxiv.org/e-print/2604.03196,77826,371904d42df850247acd39f201c790c95e301bc383834b7e28680232337a8514,1 tex -> 2604.03196.txt
2607.03316,arxiv,1,Is Agentic Code Review Helpful? Mining Developers' Feedback to CodeRabbit Reviews in the Wild,https://arxiv.org/e-print/2607.03316,5417938,91d81b5e9e229c7358ddd853f9bd27b369f340bcf7e1f8b72408bf9d81db2424,6 tex -> 2607.03316.txt
2606.22721,arxiv,1,Habituation at the Gate: Rising Approval and Declining Scrutiny in Human Review of AI Agent Code,https://arxiv.org/e-print/2606.22721,26865,74389dd168e404ca7edf5b14363531c21848a16d2410d9d6eaae2c2eabddfd67,1 tex -> 2606.22721.txt
2607.01641,arxiv,1,When Agents Do Not Stop: Uncovering Infinite Agentic Loops in LLM Agents,https://arxiv.org/e-print/2607.01641,708539,bcc15efca29ac61e98ce34377dc047cf2b6d8d5e1d8850113915218ff79b7d01,9 tex -> 2607.01641.txt
2602.09185,arxiv,1,AIDev: Studying AI Coding Agents on GitHub,https://arxiv.org/e-print/2602.09185,1514498,c565e5ce56c7e1433d5a38bcad0f5970f449d52dcf29e315c4080e05916cc0d5,1 tex -> 2602.09185.txt
2602.08915,arxiv,1,Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance,https://arxiv.org/e-print/2602.08915,3578204,82df4aac010c8142dc1b1aceb4be72df4b9df39c3659f8471437e7c01df286b4,1 tex -> 2602.08915.txt
2606.13468,arxiv,1,Understanding the Rejection of Fixes Generated by Agentic Pull Requests,https://arxiv.org/e-print/2606.13468,104462,60c42d352a5d148024b894605c2017d526c5f7d703867f8a3a0061dcd39d96e6,7 tex -> 2606.13468.txt
2604.24450,arxiv,2,On the Footprints of Reviewer Bots Feedback on Agentic Pull Requests in OSS GitHub Repositories,https://arxiv.org/e-print/2604.24450,188095,8e78f47afefd8ed44af7bf31aaffbfb6d2ff00abe5df08e7d3c07ad386495fba,1 tex -> 2604.24450.txt
2605.17548,arxiv,2,Rethinking Code Review in the Age of AI: A Vision for Agentic Code Review,https://arxiv.org/e-print/2605.17548,620207,f4a6f6f9ddf807b963a5a7d00519a4ef62165e20c0a63299a4b71f707b14318d,17 tex -> 2605.17548.txt
2310.01798,arxiv,1,Large Language Models Cannot Self-Correct Reasoning Yet,https://arxiv.org/e-print/2310.01798,140335,5ecc62e5807453d543ba7d2d831079fdfb1497d532c5e216be8026bcd70aeaf9,8 tex -> 2310.01798.txt
2407.04549,arxiv,1,Spontaneous Reward Hacking in Iterative Self-Refinement,https://arxiv.org/e-print/2407.04549,875584,74ba5d18720bdfd7c6b7745e8b295891a4ac36a0b165fb4061412a4983ae5caa,24 tex -> 2407.04549.txt
2402.11436,arxiv,2,Pride and Prejudice: LLM Amplifies Self-Bias in Self-Refinement,https://arxiv.org/e-print/2402.11436,1866576,deae9fd16580e4af5200e42c61c184c08e5abc7d58b3fb8a3f666d562b297eb1,19 tex -> 2402.11436.txt
2303.17651,arxiv,2,Self-Refine: Iterative Refinement with Self-Feedback,https://arxiv.org/e-print/2303.17651,1541504,b13ddd82b7c5522406a2ab72d0f6ae9f2eacade05ec9eabf7e77021c20b04d50,38 tex -> 2303.17651.txt
sadowski2018,pdf,1,Modern Code Review: A Case Study at Google,https://sback.it/publications/icse2018seip.pdf,603742,299c18e1da4dc75f43327fcf7c9f51232f400aab6873bafb28a6ddf623133eec,sadowski2018.txt (76483 B)
rigby2013,pdf,1,Convergent Contemporary Software Peer Review Practices,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/rigby2013convergent.pdf,751761,68e2faff6ff924e21f112ab98d8909c865697980d38ebaf11dfdcb7e9662c0f0,rigby2013.txt (87147 B)
